code,code_description,code_type,section,section_text,subsection,subsection_text,subheading,subheading_text,topic,topic_text,code_version
99451,"Interprofessional telephone/Internet/electronic health record assessment and management service provided by a consultative physician or other qualified health care professional, including a written report to the patient’s treating/requesting physician or other qualified health care professional, 5 minutes or more of medical consultative time",CPT,Evaluation and Management,Non-Face-to-Face Services,Non-Face-to-Face Services,"The consultant should use codes 99446, 99447, 99448, 99449, 99451 to report interprofessional telephone/Internet/electronic health record consultations.",Interprofessional Telephone/Internet/Electronic Health Record Consultations,"The consultant should use codes 99446, 99447, 99448, 99449, 99451 to report interprofessional telephone/Internet/electronic health record consultations. An interprofessional telephone/Internet/electronic health record consultation is an assessment and management service in which a patient’s treating (eg, attending or primary) physician or other qualified health care professional requests the opinion and/or treatment advice of a physician or other qualified health care professional with specific specialty expertise (the consultant)...",Interprofessional Telephone/Internet/Electronic Health Record Consultations,,CPT 2024 AMA
99452,"Interprofessional telephone/Internet/electronic health record referral service(s) provided by a treating/requesting physician or other qualified health care professional, 30 minutes",CPT,Evaluation and Management,Non-Face-to-Face Services,Non-Face-to-Face Services,"The consultant should use codes 99446, 99447, 99448, 99449, 99451 to report interprofessional telephone/Internet/electronic health record consultations.",Interprofessional Telephone/Internet/Electronic Health Record Consultations,"The consultant should use codes 99446, 99447, 99448, 99449, 99451 to report interprofessional telephone/Internet/electronic health record consultations. An interprofessional telephone/Internet/electronic health record consultation is an assessment and management service in which a patient’s treating (eg, attending or primary) physician or other qualified health care professional requests the opinion and/or treatment advice of a physician or other qualified health care professional with specific specialty expertise (the consultant)...",Interprofessional Telephone/Internet/Electronic Health Record Consultations,,CPT 2024 AMA
99453,"Remote monitoring of physiologic parameter(s) (eg, weight, blood pressure, pulse oximetry, respiratory flow rate), initial; set-up and patient education on use of equipment",CPT,Evaluation and Management,Non-Face-to-Face Services,Non-Face-to-Face Services,"Codes 99453 and 99454 are used to report remote physiologic monitoring services (eg, weight, blood pressure, pulse oximetry) during a 30-day period.",Digitally Stored Data Services/Remote Physiologic Monitoring,"Codes 99453 and 99454 are used to report remote physiologic monitoring services (eg, weight, blood pressure, pulse oximetry) during a 30-day period. To report 99453, 99454, the device used must be a medical device as defined by the FDA, and the service must be ordered by a physician or other qualified health care professional.",Digitally Stored Data Services/Remote Physiologic Monitoring,,CPT 2024 AMA
99454,"Remote monitoring of physiologic parameter(s) (eg, weight, blood pressure, pulse oximetry, respiratory flow rate), initial; device(s) supply with daily recording(s) or programmed alert(s) transmission, each 30 days",CPT,Evaluation and Management,Non-Face-to-Face Services,Non-Face-to-Face Services,"Codes 99453 and 99454 are used to report remote physiologic monitoring services (eg, weight, blood pressure, pulse oximetry) during a 30-day period.",Digitally Stored Data Services/Remote Physiologic Monitoring,"Codes 99453 and 99454 are used to report remote physiologic monitoring services (eg, weight, blood pressure, pulse oximetry) during a 30-day period. To report 99453, 99454, the device used must be a medical device as defined by the FDA, and the service must be ordered by a physician or other qualified health care professional.",Digitally Stored Data Services/Remote Physiologic Monitoring,,CPT 2024 AMA
99091,"Collection and interpretation of physiologic data (eg, ECG, blood pressure, glucose monitoring) digitally stored and/or transmitted by the patient and/or caregiver to the physician or other qualified health care professional, qualified by education, training, licensure/regulation (when applicable) requiring a minimum of 30 minutes of time, each 30 days",CPT,Evaluation and Management,Non-Face-to-Face Services,Non-Face-to-Face Services,"Codes 99453 and 99454 are used to report remote physiologic monitoring services (eg, weight, blood pressure, pulse oximetry) during a 30-day period.",Digitally Stored Data Services/Remote Physiologic Monitoring,"Codes 99453 and 99454 are used to report remote physiologic monitoring services (eg, weight, blood pressure, pulse oximetry) during a 30-day period. To report 99453, 99454, the device used must be a medical device as defined by the FDA, and the service must be ordered by a physician or other qualified health care professional.",Digitally Stored Data Services/Remote Physiologic Monitoring,,CPT 2024 AMA
99473,Self-measured blood pressure using a device validated for clinical accuracy; patient education/training and device calibration,CPT,Evaluation and Management,Non-Face-to-Face Services,Non-Face-to-Face Services,"Codes 99453 and 99454 are used to report remote physiologic monitoring services (eg, weight, blood pressure, pulse oximetry) during a 30-day period.",Digitally Stored Data Services/Remote Physiologic Monitoring,"Codes 99453 and 99454 are used to report remote physiologic monitoring services (eg, weight, blood pressure, pulse oximetry) during a 30-day period. To report 99453, 99454, the device used must be a medical device as defined by the FDA, and the service must be ordered by a physician or other qualified health care professional.",Digitally Stored Data Services/Remote Physiologic Monitoring,,CPT 2024 AMA
99474,"Self-measured blood pressure using a device validated for clinical accuracy; separate self-measurements of two readings one minute apart, twice daily over a 30-day period (minimum of 12 readings), collection of data reported by the patient and/or caregiver to the physician or other qualified health care professional, with report of average systolic and diastolic pressures and subsequent communication of a treatment plan to the patient",CPT,Evaluation and Management,Non-Face-to-Face Services,Non-Face-to-Face Services,"Codes 99453 and 99454 are used to report remote physiologic monitoring services (eg, weight, blood pressure, pulse oximetry) during a 30-day period.",Digitally Stored Data Services/Remote Physiologic Monitoring,"Codes 99453 and 99454 are used to report remote physiologic monitoring services (eg, weight, blood pressure, pulse oximetry) during a 30-day period. To report 99453, 99454, the device used must be a medical device as defined by the FDA, and the service must be ordered by a physician or other qualified health care professional.",Digitally Stored Data Services/Remote Physiologic Monitoring,,CPT 2024 AMA
99457,"Remote physiologic monitoring treatment management services, clinical staff/physician/other qualified health care professional time in a calendar month requiring interactive communication with the patient/caregiver during the month; first 20 minutes",CPT,Evaluation and Management,Non-Face-to-Face Services,Non-Face-to-Face Services,Remote physiologic monitoring treatment management services are provided when clinical staff/physician/other qualified health care professional use the results of remote physiological monitoring to manage a patient under a specific treatment plan.,Remote Physiologic Monitoring Treatment Management Services,"Remote physiologic monitoring treatment management services are provided when clinical staff/physician/other qualified health care professional use the results of remote physiological monitoring to manage a patient under a specific treatment plan. To report remote physiological monitoring, the device used must be a medical device as defined by the FDA, and the service must be ordered by a physician or other qualified health care professional.",Remote Physiologic Monitoring Treatment Management Services,,CPT 2024 AMA
99458,"Remote physiologic monitoring treatment management services, clinical staff/physician/other qualified health care professional time in a calendar month requiring interactive communication with the patient/caregiver during the month; each additional 20 minutes (List separately in addition to code for primary procedure)",CPT,Evaluation and Management,Non-Face-to-Face Services,Non-Face-to-Face Services,Remote physiologic monitoring treatment management services are provided when clinical staff/physician/other qualified health care professional use the results of remote physiological monitoring to manage a patient under a specific treatment plan.,Remote Physiologic Monitoring Treatment Management Services,"Remote physiologic monitoring treatment management services are provided when clinical staff/physician/other qualified health care professional use the results of remote physiological monitoring to manage a patient under a specific treatment plan. To report remote physiological monitoring, the device used must be a medical device as defined by the FDA, and the service must be ordered by a physician or other qualified health care professional.",Remote Physiologic Monitoring Treatment Management Services,,CPT 2024 AMA
99450,"Basic life and/or disability examination that includes: Measurement of height, weight, and blood pressure; Completion of a medical history following a life insurance pro forma; Collection of blood sample and/or urinalysis complying with “chain of custody” protocols; and Completion of necessary documentation/certificates.",CPT,Evaluation and Management,Special Evaluation and Management Services,Special Evaluation and Management Services,"The following codes are used to report evaluations performed to establish baseline information prior to life or disability insurance certificates being issued. This service is performed in the office or other setting, and applies to both new and established patients.",Basic Life and/or Disability Evaluation Services,"The following codes are used to report evaluations performed to establish baseline information prior to life or disability insurance certificates being issued. This service is performed in the office or other setting, and applies to both new and established patients.",Basic Life and/or Disability Evaluation Services,,CPT 2024 AMA
99455,"Work related or medical disability examination by the treating physician that includes: Completion of a medical history commensurate with the patient’s condition; Performance of an examination commensurate with the patient’s condition; Formulation of a diagnosis, assessment of capabilities and stability, and calculation of impairment; Development of future medical treatment plan; and Completion of necessary documentation/certificates and report.",CPT,Evaluation and Management,Special Evaluation and Management Services,Special Evaluation and Management Services,"The following codes are used to report evaluations performed to establish baseline information prior to life or disability insurance certificates being issued. This service is performed in the office or other setting, and applies to both new and established patients.",Work Related or Medical Disability Evaluation Services,"The following codes are used to report evaluations performed to establish baseline information prior to life or disability insurance certificates being issued. This service is performed in the office or other setting, and applies to both new and established patients.",Work Related or Medical Disability Evaluation Services,,CPT 2024 AMA
99456,"Work related or medical disability examination by other than the treating physician that includes: Completion of a medical history commensurate with the patient’s condition; Performance of an examination commensurate with the patient’s condition; Formulation of a diagnosis, assessment of capabilities and stability, and calculation of impairment; Development of future medical treatment plan; and Completion of necessary documentation/certificates and report.",CPT,Evaluation and Management,Special Evaluation and Management Services,Special Evaluation and Management Services,"The following codes are used to report evaluations performed to establish baseline information prior to life or disability insurance certificates being issued. This service is performed in the office or other setting, and applies to both new and established patients.",Work Related or Medical Disability Evaluation Services,"The following codes are used to report evaluations performed to establish baseline information prior to life or disability insurance certificates being issued. This service is performed in the office or other setting, and applies to both new and established patients.",Work Related or Medical Disability Evaluation Services,,CPT 2024 AMA
99460,"Initial hospital or birthing center care, per day, for evaluation and management of normal newborn infant",CPT,Evaluation and Management,Newborn Care Services,Newborn Care Services,The following codes are used to report the services provided to newborns (birth through the first 28 days) in several different settings. Use of the normal newborn codes is limited to the initial care of the newborn in the first days after birth prior to home discharge.,Newborn Care Services,The following codes are used to report the services provided to newborns (birth through the first 28 days) in several different settings. Use of the normal newborn codes is limited to the initial care of the newborn in the first days after birth prior to home discharge.,Newborn Care Services,,CPT 2024 AMA
99461,"Initial care, per day, for evaluation and management of normal newborn infant seen in other than hospital or birthing center",CPT,Evaluation and Management,Newborn Care Services,Newborn Care Services,The following codes are used to report the services provided to newborns (birth through the first 28 days) in several different settings. Use of the normal newborn codes is limited to the initial care of the newborn in the first days after birth prior to home discharge.,Newborn Care Services,The following codes are used to report the services provided to newborns (birth through the first 28 days) in several different settings. Use of the normal newborn codes is limited to the initial care of the newborn in the first days after birth prior to home discharge.,Newborn Care Services,,CPT 2024 AMA
99462,"Subsequent hospital care, per day, for evaluation and management of normal newborn",CPT,Evaluation and Management,Newborn Care Services,Newborn Care Services,The following codes are used to report the services provided to newborns (birth through the first 28 days) in several different settings. Use of the normal newborn codes is limited to the initial care of the newborn in the first days after birth prior to home discharge.,Newborn Care Services,The following codes are used to report the services provided to newborns (birth through the first 28 days) in several different settings. Use of the normal newborn codes is limited to the initial care of the newborn in the first days after birth prior to home discharge.,Newborn Care Services,,CPT 2024 AMA
99463,"Initial hospital or birthing center care, per day, for evaluation and management of normal newborn infant admitted and discharged on the same date",CPT,Evaluation and Management,Newborn Care Services,Newborn Care Services,The following codes are used to report the services provided to newborns (birth through the first 28 days) in several different settings. Use of the normal newborn codes is limited to the initial care of the newborn in the first days after birth prior to home discharge.,Newborn Care Services,The following codes are used to report the services provided to newborns (birth through the first 28 days) in several different settings. Use of the normal newborn codes is limited to the initial care of the newborn in the first days after birth prior to home discharge.,Newborn Care Services,,CPT 2024 AMA
99464,Attendance at delivery (when requested by the delivering physician or other qualified health care professional) and initial stabilization of newborn,CPT,Evaluation and Management,Newborn Care Services,Newborn Care Services,The following codes are used to report the services provided to newborns (birth through the first 28 days) in several different settings. Use of the normal newborn codes is limited to the initial care of the newborn in the first days after birth prior to home discharge.,Delivery/Birthing Room Attendance and Resuscitation Services,The following codes are used to report the services provided to newborns (birth through the first 28 days) in several different settings. Use of the normal newborn codes is limited to the initial care of the newborn in the first days after birth prior to home discharge.,Delivery/Birthing Room Attendance and Resuscitation Services,,CPT 2024 AMA
99465,"Delivery/birthing room resuscitation, provision of positive pressure ventilation and/or chest compressions in the presence of acute inadequate ventilation and/or cardiac output",CPT,Evaluation and Management,Newborn Care Services,Newborn Care Services,The following codes are used to report the services provided to newborns (birth through the first 28 days) in several different settings. Use of the normal newborn codes is limited to the initial care of the newborn in the first days after birth prior to home discharge.,Delivery/Birthing Room Attendance and Resuscitation Services,The following codes are used to report the services provided to newborns (birth through the first 28 days) in several different settings. Use of the normal newborn codes is limited to the initial care of the newborn in the first days after birth prior to home discharge.,Delivery/Birthing Room Attendance and Resuscitation Services,,CPT 2024 AMA
99466,"Critical care face-to-face services, during an interfacility transport of critically ill or critically injured pediatric patient, 24 months of age or younger; first 30-74 minutes of hands-on care during transport",CPT,Evaluation and Management,Inpatient Neonatal Intensive Care Services and Pediatric and Neonatal Critical Care Services,Inpatient Neonatal Intensive Care Services and Pediatric and Neonatal Critical Care Services,"Codes 99466, 99467 are used to report the physical attendance and direct face-to-face care by a physician during the interfacility transport of a critically ill or critically injured pediatric patient 24 months of age or younger.",Pediatric Critical Care Patient Transport,"Codes 99466, 99467 are used to report the physical attendance and direct face-to-face care by a physician during the interfacility transport of a critically ill or critically injured pediatric patient 24 months of age or younger. Codes 99485, 99486 are used to report the control physician’s non-face-to-face supervision of interfacility transport of a critically ill or critically injured pediatric patient 24 months of age or younger.",Pediatric Critical Care Patient Transport,,CPT 2024 AMA
99467,"Critical care face-to-face services, during an interfacility transport of critically ill or critically injured pediatric patient, 24 months of age or younger; each additional 30 minutes (List separately in addition to code for primary service)",CPT,Evaluation and Management,Inpatient Neonatal Intensive Care Services and Pediatric and Neonatal Critical Care Services,Inpatient Neonatal Intensive Care Services and Pediatric and Neonatal Critical Care Services,"Codes 99466, 99467 are used to report the physical attendance and direct face-to-face care by a physician during the interfacility transport of a critically ill or critically injured pediatric patient 24 months of age or younger.",Pediatric Critical Care Patient Transport,"Codes 99466, 99467 are used to report the physical attendance and direct face-to-face care by a physician during the interfacility transport of a critically ill or critically injured pediatric patient 24 months of age or younger. Codes 99485, 99486 are used to report the control physician’s non-face-to-face supervision of interfacility transport of a critically ill or critically injured pediatric patient 24 months of age or younger.",Pediatric Critical Care Patient Transport,,CPT 2024 AMA
99485,"Supervision by a control physician of interfacility transport care of the critically ill or critically injured pediatric patient, 24 months of age or younger, includes two-way communication with transport team before transport, at the referring facility and during the transport, including data interpretation and report; first 30 minutes",CPT,Evaluation and Management,Inpatient Neonatal Intensive Care Services and Pediatric and Neonatal Critical Care Services,Inpatient Neonatal Intensive Care Services and Pediatric and Neonatal Critical Care Services,"Codes 99466, 99467 are used to report the physical attendance and direct face-to-face care by a physician during the interfacility transport of a critically ill or critically injured pediatric patient 24 months of age or younger.",Pediatric Critical Care Patient Transport,"Codes 99466, 99467 are used to report the physical attendance and direct face-to-face care by a physician during the interfacility transport of a critically ill or critically injured pediatric patient 24 months of age or younger. Codes 99485, 99486 are used to report the control physician’s non-face-to-face supervision of interfacility transport of a critically ill or critically injured pediatric patient 24 months of age or younger.",Pediatric Critical Care Patient Transport,,CPT 2024 AMA
99486,"Supervision by a control physician of interfacility transport care of the critically ill or critically injured pediatric patient, 24 months of age or younger, includes two-way communication with transport team before transport, at the referring facility and during the transport, including data interpretation and report; each additional 30 minutes (List separately in addition to code for primary procedure)",CPT,Evaluation and Management,Inpatient Neonatal Intensive Care Services and Pediatric and Neonatal Critical Care Services,Inpatient Neonatal Intensive Care Services and Pediatric and Neonatal Critical Care Services,"Codes 99466, 99467 are used to report the physical attendance and direct face-to-face care by a physician during the interfacility transport of a critically ill or critically injured pediatric patient 24 months of age or younger.",Pediatric Critical Care Patient Transport,"Codes 99466, 99467 are used to report the physical attendance and direct face-to-face care by a physician during the interfacility transport of a critically ill or critically injured pediatric patient 24 months of age or younger. Codes 99485, 99486 are used to report the control physician’s non-face-to-face supervision of interfacility transport of a critically ill or critically injured pediatric patient 24 months of age or younger.",Pediatric Critical Care Patient Transport,,CPT 2024 AMA
99468,"Initial inpatient neonatal critical care, per day, for the evaluation and management of a critically ill neonate, 28 days of age or younger",CPT,Evaluation and Management,Inpatient Neonatal Intensive Care Services and Pediatric and Neonatal Critical Care Services,Inpatient Neonatal Intensive Care Services and Pediatric and Neonatal Critical Care Services,"Codes 99466, 99467 are used to report the physical attendance and direct face-to-face care by a physician during the interfacility transport of a critically ill or critically injured pediatric patient 24 months of age or younger.",Inpatient Neonatal and Pediatric Critical Care,"The same definitions for critical care services apply for the adult, child, and neonate. Codes 99468, 99469 may be used to report the services of directing the inpatient care of a critically ill neonate or infant 28 days of age or younger.",Inpatient Neonatal and Pediatric Critical Care,,CPT 2024 AMA
99469,"Subsequent inpatient neonatal critical care, per day, for the evaluation and management of a critically ill neonate, 28 days of age or younger",CPT,Evaluation and Management,Inpatient Neonatal Intensive Care Services and Pediatric and Neonatal Critical Care Services,Inpatient Neonatal Intensive Care Services and Pediatric and Neonatal Critical Care Services,"Codes 99466, 99467 are used to report the physical attendance and direct face-to-face care by a physician during the interfacility transport of a critically ill or critically injured pediatric patient 24 months of age or younger.",Inpatient Neonatal and Pediatric Critical Care,"The same definitions for critical care services apply for the adult, child, and neonate. Codes 99468, 99469 may be used to report the services of directing the inpatient care of a critically ill neonate or infant 28 days of age or younger.",Inpatient Neonatal and Pediatric Critical Care,,CPT 2024 AMA
99471,"Initial inpatient pediatric critical care, per day, for the evaluation and management of a critically ill infant or young child, 29 days through 24 months of age",CPT,Evaluation and Management,Inpatient Neonatal Intensive Care Services and Pediatric and Neonatal Critical Care Services,Inpatient Neonatal Intensive Care Services and Pediatric and Neonatal Critical Care Services,"Codes 99466, 99467 are used to report the physical attendance and direct face-to-face care by a physician during the interfacility transport of a critically ill or critically injured pediatric patient 24 months of age or younger.",Inpatient Neonatal and Pediatric Critical Care,"The same definitions for critical care services apply for the adult, child, and neonate. Codes 99468, 99469 may be used to report the services of directing the inpatient care of a critically ill neonate or infant 28 days of age or younger.",Inpatient Neonatal and Pediatric Critical Care,,CPT 2024 AMA
99472,"Subsequent inpatient pediatric critical care, per day, for the evaluation and management of a critically ill infant or young child, 29 days through 24 months of age",CPT,Evaluation and Management,Inpatient Neonatal Intensive Care Services and Pediatric and Neonatal Critical Care Services,Inpatient Neonatal Intensive Care Services and Pediatric and Neonatal Critical Care Services,"Codes 99466, 99467 are used to report the physical attendance and direct face-to-face care by a physician during the interfacility transport of a critically ill or critically injured pediatric patient 24 months of age or younger.",Inpatient Neonatal and Pediatric Critical Care,"The same definitions for critical care services apply for the adult, child, and neonate. Codes 99468, 99469 may be used to report the services of directing the inpatient care of a critically ill neonate or infant 28 days of age or younger.",Inpatient Neonatal and Pediatric Critical Care,,CPT 2024 AMA
99475,"Initial inpatient pediatric critical care, per day, for the evaluation and management of a critically ill infant or young child, 2 through 5 years of age",CPT,Evaluation and Management,Inpatient Neonatal Intensive Care Services and Pediatric and Neonatal Critical Care Services,Inpatient Neonatal Intensive Care Services and Pediatric and Neonatal Critical Care Services,"Codes 99466, 99467 are used to report the physical attendance and direct face-to-face care by a physician during the interfacility transport of a critically ill or critically injured pediatric patient 24 months of age or younger.",Inpatient Neonatal and Pediatric Critical Care,"The same definitions for critical care services apply for the adult, child, and neonate. Codes 99468, 99469 may be used to report the services of directing the inpatient care of a critically ill neonate or infant 28 days of age or younger.",Inpatient Neonatal and Pediatric Critical Care,,CPT 2024 AMA
99476,"Subsequent inpatient pediatric critical care, per day, for the evaluation and management of a critically ill infant or young child, 2 through 5 years of age",CPT,Evaluation and Management,Inpatient Neonatal Intensive Care Services and Pediatric and Neonatal Critical Care Services,Inpatient Neonatal Intensive Care Services and Pediatric and Neonatal Critical Care Services,"Codes 99466, 99467 are used to report the physical attendance and direct face-to-face care by a physician during the interfacility transport of a critically ill or critically injured pediatric patient 24 months of age or younger.",Inpatient Neonatal and Pediatric Critical Care,"The same definitions for critical care services apply for the adult, child, and neonate. Codes 99468, 99469 may be used to report the services of directing the inpatient care of a critically ill neonate or infant 28 days of age or younger.",Inpatient Neonatal and Pediatric Critical Care,,CPT 2024 AMA
99477,"Initial hospital care, per day, for the evaluation and management of the neonate, 28 days of age or younger, who requires intensive observation, frequent interventions, and other intensive care services",CPT,Evaluation and Management,Inpatient Neonatal Intensive Care Services and Pediatric and Neonatal Critical Care Services,Inpatient Neonatal Intensive Care Services and Pediatric and Neonatal Critical Care Services,"Codes 99466, 99467 are used to report the physical attendance and direct face-to-face care by a physician during the interfacility transport of a critically ill or critically injured pediatric patient 24 months of age or younger.",Initial and Continuing Intensive Care Services,"Code 99477 represents the initial day of inpatient care for the child who is not critically ill but requires intensive observation, frequent interventions, and other intensive care services. Codes 99478-99480 are used to report the subsequent day services of directing the continuing intensive care of the low birth weight (LBW 1500-2500 grams) present body weight infant, very low birth weight (VLBW less than 1500 grams) present body weight infant, or normal (2501-5000 grams) present body weight newborn who does not meet the definition of critically ill but continues to require intensive observation, frequent interventions, and other intensive care services.",Initial and Continuing Intensive Care Services,,CPT 2024 AMA
